Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
37	Spectrogram 1	1	177.0	180.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9929	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	177.0
38	Spectrogram 1	1	183.0	186.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9972	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	183.0
39	Spectrogram 1	1	186.0	189.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9860	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	186.0
40	Spectrogram 1	1	189.0	192.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9988	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	189.0
41	Spectrogram 1	1	195.0	198.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9979	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	195.0
42	Spectrogram 1	1	204.0	207.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9952	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	204.0
43	Spectrogram 1	1	213.0	216.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.5794	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	213.0
44	Spectrogram 1	1	222.0	225.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9799	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	222.0
45	Spectrogram 1	1	231.0	234.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9601	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	231.0
46	Spectrogram 1	1	234.0	237.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9934	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	234.0
47	Spectrogram 1	1	243.0	246.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9053	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	243.0
48	Spectrogram 1	1	246.0	249.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9926	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	246.0
49	Spectrogram 1	1	255.0	258.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9990	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	255.0
50	Spectrogram 1	1	261.0	264.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9815	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	261.0
51	Spectrogram 1	1	264.0	267.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9954	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	264.0
52	Spectrogram 1	1	267.0	270.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9978	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	267.0
53	Spectrogram 1	1	288.0	291.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9974	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	288.0
54	Spectrogram 1	1	291.0	294.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.7564	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	291.0
55	Spectrogram 1	1	300.0	303.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9869	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	300.0
56	Spectrogram 1	1	303.0	306.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9891	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	303.0
57	Spectrogram 1	1	306.0	309.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9959	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	306.0
58	Spectrogram 1	1	309.0	312.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9981	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	309.0
59	Spectrogram 1	1	315.0	318.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9985	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	315.0
60	Spectrogram 1	1	324.0	327.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9958	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	324.0
61	Spectrogram 1	1	327.0	330.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9975	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	327.0
62	Spectrogram 1	1	330.0	333.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9996	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	330.0
63	Spectrogram 1	1	336.0	339.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9935	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	336.0
64	Spectrogram 1	1	342.0	345.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9986	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	342.0
65	Spectrogram 1	1	348.0	351.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9978	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	348.0
66	Spectrogram 1	1	357.0	360.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9971	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	357.0
67	Spectrogram 1	1	363.0	366.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9811	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	363.0
68	Spectrogram 1	1	366.0	369.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9841	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	366.0
69	Spectrogram 1	1	372.0	375.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9998	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	372.0
70	Spectrogram 1	1	384.0	387.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9544	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	384.0
71	Spectrogram 1	1	387.0	390.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9982	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	387.0
72	Spectrogram 1	1	396.0	399.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9421	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	396.0
73	Spectrogram 1	1	402.0	405.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9988	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	402.0
74	Spectrogram 1	1	405.0	408.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9949	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	405.0
75	Spectrogram 1	1	423.0	426.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9987	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	423.0
76	Spectrogram 1	1	432.0	435.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9846	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	432.0
77	Spectrogram 1	1	435.0	438.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9694	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	435.0
78	Spectrogram 1	1	441.0	444.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9991	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	441.0
79	Spectrogram 1	1	447.0	450.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.8171	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	447.0
