Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	9.0	12.0	0	15000	Coyote	t-11031961	0.5107	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	9.0
2	Spectrogram 1	1	12.0	15.0	0	15000	Coyote	t-11031961	0.7025	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	12.0
3	Spectrogram 1	1	12.0	15.0	0	15000	Gray Wolf	t-11032766	0.2847	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	12.0
4	Spectrogram 1	1	12.0	15.0	0	15000	Tundra Swan	tunswa	0.1215	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	12.0
5	Spectrogram 1	1	21.0	24.0	0	15000	Galapagos Petrel	galpet	0.1529	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	21.0
6	Spectrogram 1	1	24.0	27.0	0	15000	Coyote	t-11031961	0.9231	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	24.0
7	Spectrogram 1	1	24.0	27.0	0	15000	Gray Wolf	t-11032766	0.5578	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	24.0
8	Spectrogram 1	1	24.0	27.0	0	15000	Common Loon	comloo	0.3537	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	24.0
9	Spectrogram 1	1	27.0	30.0	0	15000	Coyote	t-11031961	0.9926	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	27.0
10	Spectrogram 1	1	30.0	33.0	0	15000	Coyote	t-11031961	0.6465	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	30.0
11	Spectrogram 1	1	36.0	39.0	0	15000	American Bullfrog	t-11113588	0.2364	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	36.0
12	Spectrogram 1	1	36.0	39.0	0	15000	Coyote	t-11031961	0.1459	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	36.0
13	Spectrogram 1	1	39.0	42.0	0	15000	Gray Wolf	t-11032766	0.8853	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	39.0
14	Spectrogram 1	1	39.0	42.0	0	15000	Coyote	t-11031961	0.4371	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	39.0
