Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	6.0	9.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.1278	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	6.0
2	Spectrogram 1	1	9.0	12.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9481	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	9.0
3	Spectrogram 1	1	12.0	15.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9836	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	12.0
4	Spectrogram 1	1	15.0	18.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9820	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	15.0
5	Spectrogram 1	1	18.0	21.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9691	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	18.0
6	Spectrogram 1	1	24.0	27.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9902	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	24.0
7	Spectrogram 1	1	27.0	30.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9853	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	27.0
8	Spectrogram 1	1	30.0	33.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8875	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	30.0
9	Spectrogram 1	1	33.0	36.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9212	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	33.0
10	Spectrogram 1	1	39.0	42.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9576	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	39.0
11	Spectrogram 1	1	45.0	48.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9721	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	45.0
12	Spectrogram 1	1	54.0	57.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9286	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	54.0
13	Spectrogram 1	1	57.0	60.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9541	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	57.0
14	Spectrogram 1	1	66.0	69.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9306	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	66.0
15	Spectrogram 1	1	69.0	72.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9817	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	69.0
16	Spectrogram 1	1	75.0	78.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9941	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	75.0
17	Spectrogram 1	1	78.0	81.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9596	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	78.0
18	Spectrogram 1	1	84.0	87.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9661	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	84.0
19	Spectrogram 1	1	90.0	93.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8627	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	90.0
20	Spectrogram 1	1	93.0	96.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8125	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	93.0
21	Spectrogram 1	1	99.0	102.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9537	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	99.0
22	Spectrogram 1	1	105.0	108.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9793	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	105.0
23	Spectrogram 1	1	114.0	117.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8487	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	114.0
24	Spectrogram 1	1	117.0	120.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9289	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	117.0
25	Spectrogram 1	1	120.0	123.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9830	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	120.0
26	Spectrogram 1	1	123.0	126.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9106	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	123.0
27	Spectrogram 1	1	126.0	129.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9223	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	126.0
28	Spectrogram 1	1	132.0	135.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9622	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	132.0
29	Spectrogram 1	1	135.0	138.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9692	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	135.0
30	Spectrogram 1	1	141.0	144.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9373	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	141.0
31	Spectrogram 1	1	147.0	150.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9915	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	147.0
32	Spectrogram 1	1	150.0	153.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9321	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	150.0
33	Spectrogram 1	1	153.0	156.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9778	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	153.0
34	Spectrogram 1	1	156.0	159.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9911	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	156.0
35	Spectrogram 1	1	159.0	162.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9817	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	159.0
36	Spectrogram 1	1	162.0	165.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9468	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	162.0
37	Spectrogram 1	1	165.0	168.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.1385	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	165.0
38	Spectrogram 1	1	168.0	171.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9393	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	168.0
39	Spectrogram 1	1	171.0	174.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.5936	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	171.0
40	Spectrogram 1	1	174.0	177.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9009	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	174.0
41	Spectrogram 1	1	189.0	192.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9697	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	189.0
42	Spectrogram 1	1	198.0	201.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9723	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	198.0
43	Spectrogram 1	1	213.0	216.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8361	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	213.0
44	Spectrogram 1	1	219.0	222.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9841	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	219.0
45	Spectrogram 1	1	231.0	234.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9924	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	231.0
46	Spectrogram 1	1	246.0	249.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9092	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	246.0
47	Spectrogram 1	1	249.0	252.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9684	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	249.0
48	Spectrogram 1	1	252.0	255.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9308	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	252.0
49	Spectrogram 1	1	258.0	261.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9681	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	258.0
50	Spectrogram 1	1	261.0	264.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9286	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	261.0
51	Spectrogram 1	1	264.0	267.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9698	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	264.0
52	Spectrogram 1	1	270.0	273.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.5675	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	270.0
53	Spectrogram 1	1	282.0	285.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9393	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	282.0
54	Spectrogram 1	1	291.0	294.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9491	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	291.0
55	Spectrogram 1	1	294.0	297.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9660	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	294.0
56	Spectrogram 1	1	297.0	300.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.2355	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	297.0
