training_size,precision,recall,f1_score
0,0.5,0.66,0.5689655172413792
25,0.6578947368421053,1.0,0.7936507936507937
50,0.8064516129032258,1.0,0.8928571428571428
75,0.8771929824561403,1.0,0.9345794392523363
100,0.8928571428571429,1.0,0.9433962264150945
125,0.8928571428571429,1.0,0.9433962264150945
150,0.9259259259259259,1.0,0.9615384615384615
175,0.9259259259259259,1.0,0.9615384615384615
200,0.9433962264150944,1.0,0.970873786407767
150944,1.0,0.970873786407767
