training_size,precision,recall,f1_score
0,0.5316455696202531,0.56,0.5454545454545455
25,0.6756756756756757,1.0,0.8064516129032258
50,0.8333333333333334,1.0,0.9090909090909091
75,0.8928571428571429,1.0,0.9433962264150945
100,0.9146341463414634,1.0,0.9554140127388536
125,0.9259259259259259,1.0,0.9615384615384615
150,0.9259259259259259,1.0,0.9615384615384615
175,0.9259259259259259,1.0,0.9615384615384615
200,0.9493670886075949,1.0,0.974025974025974
