Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	6.0	9.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.1419	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	6.0
2	Spectrogram 1	1	9.0	12.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9582	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	9.0
3	Spectrogram 1	1	12.0	15.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9650	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	12.0
4	Spectrogram 1	1	15.0	18.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9287	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	15.0
5	Spectrogram 1	1	18.0	21.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9445	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	18.0
6	Spectrogram 1	1	24.0	27.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9843	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	24.0
7	Spectrogram 1	1	27.0	30.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9719	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	27.0
8	Spectrogram 1	1	30.0	33.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9516	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	30.0
9	Spectrogram 1	1	33.0	36.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8113	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	33.0
10	Spectrogram 1	1	39.0	42.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9132	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	39.0
11	Spectrogram 1	1	45.0	48.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9674	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	45.0
12	Spectrogram 1	1	54.0	57.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.7912	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	54.0
13	Spectrogram 1	1	57.0	60.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8569	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	57.0
14	Spectrogram 1	1	60.0	63.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.2297	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	60.0
