Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	9.0	12.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9499	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	9.0
2	Spectrogram 1	1	12.0	15.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9785	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	12.0
3	Spectrogram 1	1	15.0	18.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9855	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	15.0
4	Spectrogram 1	1	18.0	21.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9731	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	18.0
5	Spectrogram 1	1	24.0	27.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9914	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	24.0
6	Spectrogram 1	1	27.0	30.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9840	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	27.0
7	Spectrogram 1	1	30.0	33.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9582	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	30.0
8	Spectrogram 1	1	33.0	36.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9262	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	33.0
9	Spectrogram 1	1	39.0	42.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8952	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	39.0
10	Spectrogram 1	1	45.0	48.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9555	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	45.0
11	Spectrogram 1	1	54.0	57.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9137	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	54.0
12	Spectrogram 1	1	57.0	60.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9703	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	57.0
13	Spectrogram 1	1	66.0	69.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9281	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	66.0
14	Spectrogram 1	1	69.0	72.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9676	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	69.0
15	Spectrogram 1	1	75.0	78.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9937	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	75.0
16	Spectrogram 1	1	78.0	81.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9745	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	78.0
17	Spectrogram 1	1	84.0	87.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9556	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	84.0
18	Spectrogram 1	1	90.0	93.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8771	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	90.0
19	Spectrogram 1	1	93.0	96.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8042	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	93.0
