Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
60	Spectrogram 1	1	228.0	231.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.1131	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	228.0
61	Spectrogram 1	1	231.0	234.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.9337	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	231.0
62	Spectrogram 1	1	246.0	249.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.7905	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	246.0
63	Spectrogram 1	1	249.0	252.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.6420	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	249.0
64	Spectrogram 1	1	252.0	255.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.7711	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	252.0
65	Spectrogram 1	1	255.0	258.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.1160	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	255.0
66	Spectrogram 1	1	258.0	261.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8849	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	258.0
67	Spectrogram 1	1	261.0	264.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.5814	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	261.0
68	Spectrogram 1	1	264.0	267.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8362	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	264.0
69	Spectrogram 1	1	267.0	270.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.1276	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	267.0
70	Spectrogram 1	1	270.0	273.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.5010	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	270.0
71	Spectrogram 1	1	273.0	276.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.1625	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	273.0
72	Spectrogram 1	1	276.0	279.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.1238	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	276.0
73	Spectrogram 1	1	282.0	285.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8237	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	282.0
74	Spectrogram 1	1	291.0	294.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.6223	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	291.0
75	Spectrogram 1	1	294.0	297.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.8292	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	294.0
76	Spectrogram 1	1	297.0	300.0	0	15000	latrans Coyote	Canis_latrans Coyote	0.5496	/Users/amy/Desktop/birdnet_audio/coyote/data/test/test_dataset.wav	297.0
