Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0	3.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.7207	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	0
2	Spectrogram 1	1	3.0	6.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9659	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	3.0
3	Spectrogram 1	1	9.0	12.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.8061	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	9.0
4	Spectrogram 1	1	15.0	18.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.7891	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	15.0
5	Spectrogram 1	1	18.0	21.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9487	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	18.0
6	Spectrogram 1	1	24.0	27.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9583	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	24.0
7	Spectrogram 1	1	27.0	30.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.2785	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	27.0
8	Spectrogram 1	1	30.0	33.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.1108	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	30.0
9	Spectrogram 1	1	33.0	36.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.8152	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	33.0
10	Spectrogram 1	1	36.0	39.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9340	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	36.0
11	Spectrogram 1	1	39.0	42.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.8972	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	39.0
12	Spectrogram 1	1	42.0	45.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.8955	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	42.0
13	Spectrogram 1	1	45.0	48.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9130	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	45.0
14	Spectrogram 1	1	51.0	54.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9083	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	51.0
15	Spectrogram 1	1	54.0	57.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9384	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	54.0
16	Spectrogram 1	1	60.0	63.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9150	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	60.0
17	Spectrogram 1	1	63.0	66.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.2120	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	63.0
18	Spectrogram 1	1	66.0	69.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.8784	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	66.0
19	Spectrogram 1	1	72.0	75.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.1892	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	72.0
20	Spectrogram 1	1	75.0	78.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.1070	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	75.0
21	Spectrogram 1	1	78.0	81.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.2465	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	78.0
22	Spectrogram 1	1	84.0	87.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9188	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	84.0
23	Spectrogram 1	1	87.0	90.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.8876	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	87.0
24	Spectrogram 1	1	90.0	93.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9273	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	90.0
25	Spectrogram 1	1	93.0	96.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9289	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	93.0
26	Spectrogram 1	1	96.0	99.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9301	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	96.0
27	Spectrogram 1	1	99.0	102.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.8059	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	99.0
28	Spectrogram 1	1	102.0	105.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.5558	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	102.0
29	Spectrogram 1	1	108.0	111.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.8588	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	108.0
30	Spectrogram 1	1	111.0	114.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.8832	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	111.0
31	Spectrogram 1	1	114.0	117.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.8650	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	114.0
32	Spectrogram 1	1	117.0	120.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9566	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	117.0
33	Spectrogram 1	1	120.0	123.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.1165	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	120.0
34	Spectrogram 1	1	126.0	129.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.4321	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	126.0
35	Spectrogram 1	1	129.0	132.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.6567	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	129.0
36	Spectrogram 1	1	132.0	135.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.7706	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	132.0
37	Spectrogram 1	1	141.0	144.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.1614	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	141.0
38	Spectrogram 1	1	150.0	153.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.1626	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	150.0
39	Spectrogram 1	1	153.0	156.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.6718	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	153.0
40	Spectrogram 1	1	156.0	159.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.8399	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	156.0
41	Spectrogram 1	1	159.0	162.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9423	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	159.0
42	Spectrogram 1	1	162.0	165.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.1616	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	162.0
43	Spectrogram 1	1	165.0	168.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.8076	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	165.0
