Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0	3.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.8270	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	0
2	Spectrogram 1	1	3.0	6.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9986	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	3.0
3	Spectrogram 1	1	9.0	12.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.8229	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	9.0
4	Spectrogram 1	1	15.0	18.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9866	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	15.0
5	Spectrogram 1	1	18.0	21.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9971	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	18.0
6	Spectrogram 1	1	24.0	27.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9995	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	24.0
7	Spectrogram 1	1	27.0	30.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.1583	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	27.0
8	Spectrogram 1	1	33.0	36.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9822	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	33.0
9	Spectrogram 1	1	36.0	39.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9917	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	36.0
10	Spectrogram 1	1	39.0	42.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9927	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	39.0
11	Spectrogram 1	1	42.0	45.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9868	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	42.0
12	Spectrogram 1	1	45.0	48.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9686	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	45.0
13	Spectrogram 1	1	51.0	54.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9966	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	51.0
14	Spectrogram 1	1	54.0	57.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9981	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	54.0
15	Spectrogram 1	1	60.0	63.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9961	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	60.0
16	Spectrogram 1	1	66.0	69.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9708	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	66.0
