Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	3.0	6.0	0	15000	American Bullfrog	t-11113588	0.1268	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	3.0
2	Spectrogram 1	1	6.0	9.0	0	15000	Gray Wolf	t-11032766	0.1080	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	6.0
3	Spectrogram 1	1	6.0	9.0	0	15000	Coyote	t-11031961	0.1004	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	6.0
4	Spectrogram 1	1	9.0	12.0	0	15000	American Bullfrog	t-11113588	0.1574	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	9.0
5	Spectrogram 1	1	15.0	18.0	0	15000	American Bullfrog	t-11113588	0.8334	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	15.0
6	Spectrogram 1	1	18.0	21.0	0	15000	American Bullfrog	t-11113588	0.2453	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	18.0
7	Spectrogram 1	1	24.0	27.0	0	15000	American Bullfrog	t-11113588	0.3865	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	24.0
8	Spectrogram 1	1	27.0	30.0	0	15000	Woodhouse's Toad	t-11105570	0.4166	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	27.0
9	Spectrogram 1	1	30.0	33.0	0	15000	American Bullfrog	t-11113588	0.4818	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	30.0
10	Spectrogram 1	1	30.0	33.0	0	15000	Brant	brant	0.1300	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	30.0
11	Spectrogram 1	1	33.0	36.0	0	15000	American Bullfrog	t-11113588	0.7382	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	33.0
12	Spectrogram 1	1	36.0	39.0	0	15000	American Bullfrog	t-11113588	0.6137	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	36.0
13	Spectrogram 1	1	39.0	42.0	0	15000	American Bullfrog	t-11113588	0.4447	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	39.0
14	Spectrogram 1	1	42.0	45.0	0	15000	American Bullfrog	t-11113588	0.2378	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	42.0
15	Spectrogram 1	1	45.0	48.0	0	15000	American Bullfrog	t-11113588	0.7933	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	45.0
16	Spectrogram 1	1	48.0	51.0	0	15000	Dog	dogdog	0.1312	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	48.0
17	Spectrogram 1	1	48.0	51.0	0	15000	Human vocal	humvoc	0.1026	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	48.0
18	Spectrogram 1	1	51.0	54.0	0	15000	Rook	rook1	0.1262	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	51.0
19	Spectrogram 1	1	57.0	60.0	0	15000	Elf Owl	elfowl	0.1316	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	57.0
20	Spectrogram 1	1	60.0	63.0	0	15000	American Bullfrog	t-11113588	0.8740	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	60.0
21	Spectrogram 1	1	63.0	66.0	0	15000	Engine	engine	0.1517	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	63.0
22	Spectrogram 1	1	72.0	75.0	0	15000	Arizona Toad	t-11160924	0.1340	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	72.0
23	Spectrogram 1	1	75.0	78.0	0	15000	Engine	engine	0.3232	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	75.0
24	Spectrogram 1	1	75.0	78.0	0	15000	Gray Wolf	t-11032766	0.1132	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	75.0
25	Spectrogram 1	1	81.0	84.0	0	15000	Elf Owl	elfowl	0.1069	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	81.0
26	Spectrogram 1	1	93.0	96.0	0	15000	American Bullfrog	t-11113588	0.2875	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	93.0
27	Spectrogram 1	1	96.0	99.0	0	15000	American Bullfrog	t-11113588	0.2434	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	96.0
28	Spectrogram 1	1	102.0	105.0	0	15000	American Bullfrog	t-11113588	0.2748	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	102.0
29	Spectrogram 1	1	105.0	108.0	0	15000	Buff-breasted Sandpiper	bubsan	0.1182	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	105.0
30	Spectrogram 1	1	111.0	114.0	0	15000	American Bullfrog	t-11113588	0.1432	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	111.0
31	Spectrogram 1	1	114.0	117.0	0	15000	Eurasian Scops-Owl	eursco1	0.3230	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	114.0
32	Spectrogram 1	1	123.0	126.0	0	15000	American Bullfrog	t-11113588	0.1070	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	123.0
33	Spectrogram 1	1	126.0	129.0	0	15000	Engine	engine	0.1262	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	126.0
34	Spectrogram 1	1	129.0	132.0	0	15000	American Bullfrog	t-11113588	0.1159	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	129.0
35	Spectrogram 1	1	132.0	135.0	0	15000	American Bullfrog	t-11113588	0.8398	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	132.0
36	Spectrogram 1	1	132.0	135.0	0	15000	White-crowned Sparrow	whcspa	0.1173	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	132.0
37	Spectrogram 1	1	135.0	138.0	0	15000	American Bullfrog	t-11113588	0.1063	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	135.0
