Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0	3.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9104	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	0
2	Spectrogram 1	1	3.0	6.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9932	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	3.0
3	Spectrogram 1	1	9.0	12.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.8898	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	9.0
4	Spectrogram 1	1	15.0	18.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9773	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	15.0
5	Spectrogram 1	1	18.0	21.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9971	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	18.0
6	Spectrogram 1	1	24.0	27.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9982	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	24.0
7	Spectrogram 1	1	27.0	30.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.2153	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	27.0
8	Spectrogram 1	1	33.0	36.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9766	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	33.0
9	Spectrogram 1	1	36.0	39.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9910	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	36.0
10	Spectrogram 1	1	39.0	42.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9873	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	39.0
