Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0	3.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.8174	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	0
2	Spectrogram 1	1	3.0	6.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9986	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	3.0
3	Spectrogram 1	1	9.0	12.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.7591	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	9.0
4	Spectrogram 1	1	15.0	18.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9801	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	15.0
5	Spectrogram 1	1	18.0	21.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9991	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	18.0
6	Spectrogram 1	1	24.0	27.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9997	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	24.0
7	Spectrogram 1	1	27.0	30.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.2146	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	27.0
8	Spectrogram 1	1	33.0	36.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9873	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	33.0
9	Spectrogram 1	1	36.0	39.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9952	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	36.0
10	Spectrogram 1	1	39.0	42.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9926	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	39.0
11	Spectrogram 1	1	42.0	45.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9849	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	42.0
12	Spectrogram 1	1	45.0	48.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9808	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	45.0
13	Spectrogram 1	1	51.0	54.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9933	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	51.0
14	Spectrogram 1	1	54.0	57.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9984	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	54.0
15	Spectrogram 1	1	60.0	63.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9975	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	60.0
16	Spectrogram 1	1	66.0	69.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9857	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	66.0
17	Spectrogram 1	1	84.0	87.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9949	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	84.0
18	Spectrogram 1	1	87.0	90.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9950	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	87.0
19	Spectrogram 1	1	90.0	93.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9933	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	90.0
20	Spectrogram 1	1	93.0	96.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9959	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	93.0
21	Spectrogram 1	1	96.0	99.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9986	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	96.0
22	Spectrogram 1	1	99.0	102.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9478	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	99.0
23	Spectrogram 1	1	102.0	105.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.8813	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	102.0
24	Spectrogram 1	1	108.0	111.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9728	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	108.0
25	Spectrogram 1	1	111.0	114.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9853	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	111.0
26	Spectrogram 1	1	114.0	117.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9871	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	114.0
27	Spectrogram 1	1	117.0	120.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9957	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	117.0
28	Spectrogram 1	1	129.0	132.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.7062	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	129.0
29	Spectrogram 1	1	132.0	135.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9853	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	132.0
30	Spectrogram 1	1	153.0	156.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.4798	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	153.0
31	Spectrogram 1	1	156.0	159.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9454	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	156.0
32	Spectrogram 1	1	159.0	162.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9989	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	159.0
33	Spectrogram 1	1	165.0	168.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9585	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	165.0
34	Spectrogram 1	1	168.0	171.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.8774	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	168.0
35	Spectrogram 1	1	171.0	174.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9865	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	171.0
36	Spectrogram 1	1	174.0	177.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9949	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	174.0
37	Spectrogram 1	1	177.0	180.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9886	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	177.0
38	Spectrogram 1	1	183.0	186.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9950	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	183.0
39	Spectrogram 1	1	186.0	189.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9767	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	186.0
40	Spectrogram 1	1	189.0	192.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9830	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	189.0
41	Spectrogram 1	1	195.0	198.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9870	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	195.0
42	Spectrogram 1	1	204.0	207.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9872	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	204.0
43	Spectrogram 1	1	213.0	216.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.4362	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	213.0
44	Spectrogram 1	1	222.0	225.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9371	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	222.0
45	Spectrogram 1	1	231.0	234.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9332	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	231.0
46	Spectrogram 1	1	234.0	237.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9850	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	234.0
47	Spectrogram 1	1	243.0	246.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.8741	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	243.0
48	Spectrogram 1	1	246.0	249.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9877	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	246.0
49	Spectrogram 1	1	255.0	258.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9969	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	255.0
50	Spectrogram 1	1	261.0	264.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9636	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	261.0
51	Spectrogram 1	1	264.0	267.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9876	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	264.0
52	Spectrogram 1	1	267.0	270.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9950	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	267.0
53	Spectrogram 1	1	288.0	291.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9939	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	288.0
54	Spectrogram 1	1	291.0	294.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.7159	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	291.0
55	Spectrogram 1	1	300.0	303.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9672	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	300.0
56	Spectrogram 1	1	303.0	306.0	0	15000	catesbeianus American Bullfrog	Lithobates_catesbeianus American Bullfrog	0.9553	/Users/amy/Desktop/birdnet_audio/bullfrog/data/test/test_dataset.wav	303.0
